account_id,customer_id,account_number,bsb_code,account_type,creation_date,balance,currency,status,is_mule_account,daily_limit,monthly_limit
ACC00000001,AU-CUST00001,813369224,014-957,Current,2024-09-24,335.33,AUD,ACTIVE,False,10000,200000
ACC00000002,AU-CUST00001,370744444,016-721,Current,2024-12-26,1440.54,AUD,ACTIVE,False,2000,100000
ACC00000003,AU-CUST00002,208146179,013-071,Current,2025-05-22,10196.87,AUD,ACTIVE,False,10000,20000
ACC00000004,AU-CUST00003,350648343,014-203,Current,2025-03-09,4249.0,AUD,ACTIVE,False,5000,20000
ACC00000005,AU-CUST00004,947090289,015-365,Current,2024-11-16,2104.34,AUD,ACTIVE,False,2000,20000
ACC00000006,AU-CUST00005,487861736,017-051,Current,2024-01-16,649.06,AUD,ACTIVE,False,5000,50000
ACC00000007,AU-CUST00006,160287625,013-793,Current,2024-10-08,738.51,AUD,ACTIVE,False,10000,200000
ACC00000008,AU-CUST00006,770308065,018-292,Savings,2025-03-11,12442.53,AUD,ACTIVE,False,2000,200000
ACC00000009,AU-CUST00007,833492846,015-405,Current,2025-03-25,1498.98,AUD,ACTIVE,False,10000,20000
ACC00000010,AU-CUST00008,150073442,018-680,Current,2025-04-08,2092.4,AUD,ACTIVE,False,2000,20000
ACC00000011,AU-CUST00009,269558575,014-123,Current,2025-02-28,1856.91,AUD,ACTIVE,False,2000,100000
ACC00000012,AU-CUST00010,668751359,016-520,Current,2025-06-25,34339.88,AUD,ACTIVE,False,10000,50000
ACC00000013,AU-CUST00011,458888706,017-865,Current,2024-10-10,12473.81,AUD,ACTIVE,False,2000,100000
ACC00000014,AU-CUST00012,520946311,017-289,Current,2024-03-01,1114.84,AUD,ACTIVE,False,5000,20000
ACC00000015,AU-CUST00013,517903890,014-311,Current,2024-09-29,559.21,AUD,ACTIVE,False,25000,50000
ACC00000016,AU-CUST00014,168653361,014-577,Current,2024-06-23,1316.15,AUD,ACTIVE,False,2000,100000
ACC00000017,AU-CUST00015,354783530,015-020,Current,2025-04-03,2768.19,AUD,ACTIVE,False,2000,50000
ACC00000018,AU-CUST00016,308651208,015-573,Current,2025-03-02,2462.22,AUD,ACTIVE,False,2000,200000
ACC00000019,AU-CUST00017,989416085,015-516,Current,2024-08-21,1622.34,AUD,ACTIVE,False,5000,50000
ACC00000020,AU-CUST00018,963414151,012-162,Current,2024-08-01,1749.84,AUD,ACTIVE,False,5000,100000
ACC00000021,AU-CUST00019,813835737,014-996,Current,2024-03-28,11301.31,AUD,ACTIVE,False,2000,50000
ACC00000022,AU-CUST00020,104766291,017-477,Current,2024-01-24,23360.84,AUD,ACTIVE,False,5000,100000
ACC00000023,AU-CUST00021,756802195,017-699,Current,2024-06-20,2651.24,AUD,ACTIVE,False,2000,20000
ACC00000024,AU-CUST00022,842660849,018-661,Current,2024-05-12,480.44,AUD,ACTIVE,False,10000,50000
ACC00000025,AU-CUST00022,306655943,014-535,Savings,2024-06-25,5768.49,AUD,ACTIVE,False,2000,100000
