customer_id,name,date_of_birth,gender,citizenship,marital_status,employment_status,annual_income,customer_segment,onboarding_date,digital_literacy_level,known_device_familiarity_score,scam_education_completed,risk_profile,is_vulnerable,vulnerability_score,vulnerability_flags,is_mule_account,credit_score,kyc_level,aml_risk_level
AU-CUST00001,Allison Hill,1967-10-27,Male,AU,Single,Self-employed,116255,Premium,2024-09-24,Low,0.496,False,Low,False,0.0,NONE,False,631,Standard,Low
AU-CUST00002,Noah Rhodes,1995-10-20,Male,AU,Married,Full-time,65382,Standard,2025-05-22,High,0.918,True,Low,False,0.0,NONE,False,568,Enhanced,Low
AU-CUST00003,Angie Henderson,1956-10-29,Female,AU,Divorced,Part-time,35115,Standard,2025-03-09,Low,0.45,False,High,True,0.45,PRIOR_VICTIM,False,586,Standard,Medium
AU-CUST00004,Daniel Wagner,1974-10-25,Female,AU,Divorced,Self-employed,68672,Standard,2024-11-16,Medium,0.53,False,Low,False,0.0,NONE,False,625,Standard,Low
AU-CUST00005,Cristian Santos,1998-10-19,Male,AU,Married,Full-time,95794,Standard,2024-01-16,High,0.889,True,Low,False,0.0,NONE,False,841,Enhanced,Low
AU-CUST00006,Connie Lawrence,1962-10-28,Male,AU,Married,Full-time,43865,Standard,2024-10-08,Low,0.352,True,Low,False,0.0,NONE,False,793,Standard,Low
AU-CUST00007,Abigail Shaffer,1974-10-25,Male,AU,Married,Full-time,95990,Standard,2025-03-25,Medium,0.521,False,Low,False,0.0,NONE,False,688,Standard,Low
AU-CUST00008,Gina Moore,1978-10-24,Male,AU,Married,Part-time,50895,Standard,2025-04-08,Medium,0.767,True,Low,False,0.0,NONE,False,548,Standard,Low
AU-CUST00009,Gabrielle Davis,1998-10-19,Female,AU,Married,Full-time,115824,Premium,2025-02-28,High,0.814,False,Low,False,0.0,NONE,False,664,Standard,Low
AU-CUST00010,Ryan Munoz,1986-10-22,Male,AU,Single,Full-time,43778,Standard,2025-06-25,Medium,0.764,True,Low,False,0.0,NONE,False,639,Enhanced,Low
AU-CUST00011,Monica Herrera,1988-10-21,Female,AU,Single,Full-time,75292,Standard,2024-10-10,Medium,0.695,False,Low,False,0.0,NONE,False,764,Standard,Low
AU-CUST00012,Jamie Arnold,1956-10-29,Male,AU,Married,Part-time,40210,Standard,2024-03-01,Low,0.31,True,Low,False,0.0,NONE,False,649,Enhanced,Low
AU-CUST00013,Lisa Hensley,1978-10-24,Male,AU,Single,Self-employed,41642,Standard,2024-09-29,Medium,0.772,False,Low,False,0.0,NONE,False,752,Standard,Low
AU-CUST00014,Michele Williams,1942-11-02,Male,AU,Single,Retired,34568,Standard,2024-06-23,Low,0.431,True,Very High,True,0.65,ELDERLY|LOW_DIGITAL_LITERACY,False,600,Simplified,Medium
AU-CUST00015,Dylan Miller,1986-10-22,Male,AU,Divorced,Full-time,50975,Standard,2025-04-03,Medium,0.583,False,Low,False,0.0,NONE,False,647,Simplified,Low
AU-CUST00016,Brian Ramirez,2004-10-17,Male,AU,Married,Student,11909,Standard,2025-03-02,High,0.983,True,High,True,0.45,YOUNG_ADULT|LOW_INCOME,False,539,Standard,Medium
AU-CUST00017,Holly Wood,1974-10-25,Male,AU,Single,Full-time,91977,Standard,2024-08-21,Medium,0.704,True,Low,False,0.0,NONE,False,752,Standard,Low
AU-CUST00018,Derek Zuniga,1999-10-19,Male,AU,Single,Full-time,70706,Standard,2024-08-01,High,0.847,False,Low,False,0.0,NONE,False,760,Standard,Low
AU-CUST00019,Lisa Jackson,1948-10-31,Male,AU,Married,Part-time,39959,Standard,2024-03-28,Low,0.239,True,Medium,True,0.35,ELDERLY,False,564,Enhanced,Low
AU-CUST00020,Carla Gray,1974-10-25,Female,AU,Married,Part-time,67582,Standard,2024-01-24,Medium,0.786,False,Low,False,0.0,NONE,False,731,Standard,Low
AU-CUST00021,Margaret Hawkins DDS,1976-10-24,Female,AU,Married,Part-time,47871,Standard,2024-06-20,Medium,0.684,False,Low,False,0.0,NONE,False,635,Enhanced,Low
AU-CUST00022,Patty Perez,1986-10-22,Female,AU,Married,Full-time,41753,Standard,2024-05-12,Medium,0.7,False,Low,False,0.0,NONE,False,735,Standard,Low
AU-CUST00023,Ethan Adams,1949-10-31,Male,AU,Single,Retired,32841,Standard,2024-05-25,Low,0.517,False,Medium,True,0.35,ELDERLY,False,409,Standard,Low
AU-CUST00024,Tommy Walter,1951-10-31,Male,AU,Married,Retired,40035,Standard,2025-07-02,Low,0.333,False,Very High,True,0.65,ELDERLY|LOW_DIGITAL_LITERACY,False,651,Enhanced,Medium
