account_id,customer_id,account_number,bsb_code,account_type,creation_date,balance,currency,status,is_mule_account,daily_limit,monthly_limit
ACC00001086,AU-CUST00856,284236018,015-216,Savings,2025-04-10,1535.81,AUD,ACTIVE,False,9799,44083
ACC00001007,AU-CUST00830,517849030,016-350,Savings,2025-08-31,7921.89,AUD,ACTIVE,False,25000,101795
ACC00001247,AU-CUST00980,724295305,014-259,Savings,2024-03-25,27146.28,AUD,ACTIVE,False,25000,43482
ACC00000344,AU-CUST00246,465505620,016-791,Business,2025-06-15,10659.77,AUD,ACTIVE,False,24120,188247
ACC00000389,AU-CUST00342,232661089,015-439,Savings,2025-05-06,11980.88,AUD,ACTIVE,False,11765,74260
ACC00000489,AU-CUST00414,998607422,016-630,Savings,2024-10-18,27683.15,AUD,ACTIVE,False,22253,198291
ACC00000141,AU-CUST00091,199100865,014-345,Savings,2024-08-28,24411.25,AUD,ACTIVE,False,11918,141784
ACC00000089,AU-CUST00062,763912288,018-341,Savings,2024-08-05,15432.77,AUD,ACTIVE,False,9272,164054
ACC00000665,AU-CUST00512,936749281,013-231,Savings,2025-02-27,13912.98,AUD,ACTIVE,False,25000,61151
ACC00000862,AU-CUST00729,160137021,015-654,Savings,2024-02-16,18612.93,AUD,ACTIVE,False,25000,30973
ACC00001040,AU-CUST00801,649976607,012-335,Savings,2024-05-26,25.96,AUD,ACTIVE,False,25000,62588
ACC00000057,AU-CUST00042,639351371,018-781,Savings,2024-05-01,366.14,AUD,ACTIVE,False,25000,60921
ACC00000703,AU-CUST00595,678238790,016-791,Business,2025-04-23,79.24,AUD,ACTIVE,False,25000,151558
ACC00000301,AU-CUST00225,185318388,013-298,Savings,2024-05-24,47844.34,AUD,ACTIVE,False,25000,36229
ACC00000729,AU-CUST00594,225782199,018-154,Savings,2024-06-29,33371.43,AUD,ACTIVE,False,5003,157357
ACC00001261,AU-CUST00994,605216469,016-614,Savings,2024-06-21,759.94,AUD,ACTIVE,False,25000,158525
ACC00000036,AU-CUST00030,191809165,014-996,Savings,2025-01-07,34953.44,AUD,ACTIVE,False,25000,174692
ACC00001177,AU-CUST00930,142398871,018-024,Savings,2024-11-02,26969.59,AUD,ACTIVE,False,7551,166260
ACC00000841,AU-CUST00714,997207995,014-695,Savings,2024-03-08,10723.33,AUD,ACTIVE,False,25000,197698
ACC00000477,AU-CUST00395,919125716,018-294,Savings,2024-05-29,2771.74,AUD,ACTIVE,False,5758,88511
ACC00000626,AU-CUST00488,562129750,018-658,Savings,2025-01-25,3912.49,AUD,ACTIVE,False,21717,61003
ACC00000906,AU-CUST00709,307934405,014-508,Savings,2025-01-28,692.9,AUD,ACTIVE,False,25000,53553
ACC00001087,AU-CUST00829,299468939,015-298,Business,2025-08-24,13725.3,AUD,ACTIVE,False,25000,34117
ACC00000767,AU-CUST00620,332522028,012-938,Savings,2024-09-03,11178.98,AUD,ACTIVE,False,25000,172305
ACC00001023,AU-CUST00822,437894067,012-878,Business,2024-05-24,2765.92,AUD,ACTIVE,False,25000,97872
ACC00001019,AU-CUST00798,823351413,018-972,Savings,2025-06-16,3131.88,AUD,ACTIVE,False,12140,54467
ACC00000625,AU-CUST00462,458419512,016-306,Savings,2025-08-25,27767.97,AUD,ACTIVE,False,19467,189690
ACC00000093,AU-CUST00074,105265664,012-879,Savings,2024-06-20,39.3,AUD,ACTIVE,False,19885,199700
ACC00000225,AU-CUST00166,465894342,014-971,Savings,2025-02-12,5229.17,AUD,ACTIVE,False,25000,40954
ACC00000261,AU-CUST00239,534070381,013-231,Savings,2025-03-11,9082.59,AUD,ACTIVE,False,10179,199895
ACC00000221,AU-CUST00163,934663143,012-413,Business,2025-05-26,3177.74,AUD,ACTIVE,False,25000,120242
ACC00000302,AU-CUST00222,117840773,017-591,Savings,2025-04-29,9049.53,AUD,ACTIVE,False,25000,199995
ACC00000771,AU-CUST00602,328495967,018-388,Savings,2024-12-24,3561.73,AUD,ACTIVE,False,11961,97111
ACC00001211,AU-CUST00951,433678100,015-088,Savings,2024-01-27,58.37,AUD,ACTIVE,False,5073,33882
ACC00000738,AU-CUST00584,869947544,012-851,Savings,2025-03-03,13211.99,AUD,ACTIVE,False,18716,151944
ACC00000311,AU-CUST00263,185318388,012-940,Savings,2025-06-15,459.63,AUD,ACTIVE,False,25000,78025
ACC00001266,AU-CUST00999,345701165,015-992,Business,2024-03-08,1009.73,AUD,ACTIVE,False,5143,178903
ACC00000326,AU-CUST00272,464658989,018-466,Savings,2025-05-06,11869.31,AUD,ACTIVE,False,9741,152625
ACC00000531,AU-CUST00394,375835071,012-770,Savings,2024-02-20,16964.83,AUD,ACTIVE,False,25000,196678
ACC00000310,AU-CUST00230,300886985,018-175,Savings,2024-06-14,888.78,AUD,ACTIVE,False,12776,40658
ACC00000250,AU-CUST00170,530713894,018-891,Savings,2024-06-20,5188.15,AUD,ACTIVE,False,25000,177697
ACC00000949,AU-CUST00722,889634142,017-102,Savings,2025-04-28,15268.16,AUD,ACTIVE,False,14348,195384
ACC00000013,AU-CUST00012,458888706,014-119,Savings,2024-05-09,2485.6,AUD,ACTIVE,False,7614,60819
ACC00000622,AU-CUST00479,643370494,012-301,Savings,2025-07-19,714.86,AUD,ACTIVE,False,21193,37208
ACC00000320,AU-CUST00259,855030624,018-497,Savings,2024-02-28,2901.94,AUD,ACTIVE,False,25000,161749
ACC00001150,AU-CUST00907,533614682,014-637,Savings,2024-03-18,7109.51,AUD,ACTIVE,False,9245,50255
ACC00000587,AU-CUST00451,206623791,015-208,Savings,2024-03-18,2746.55,AUD,ACTIVE,False,25000,73738
ACC00000330,AU-CUST00270,632883979,016-304,Savings,2025-08-30,7493.48,AUD,ACTIVE,False,25000,195104
ACC00000311,AU-CUST00266,456994685,015-143,Savings,2024-09-18,9056.89,AUD,ACTIVE,False,25000,180954
ACC00000097,AU-CUST00062,829159008,017-932,Savings,2024-08-25,3830.84,AUD,ACTIVE,False,13875,142093
ACC00000055,AU-CUST00039,639351371,014-333,Savings,2024-04-14,14433.44,AUD,ACTIVE,False,24709,38348
ACC00000384,AU-CUST00321,153850083,015-963,Savings,2024-06-29,6392.29,AUD,ACTIVE,True,25000,191921
ACC00000292,AU-CUST00285,304750731,016-007,Savings,2024-08-09,3193.84,AUD,ACTIVE,False,25000,43446
ACC00000135,AU-CUST00102,746300832,016-027,Savings,2024-09-12,2530.73,AUD,ACTIVE,False,25000,34317
ACC00000683,AU-CUST00536,313946035,013-521,Savings,2024-10-09,3970.11,AUD,ACTIVE,False,25000,145956
ACC00000063,AU-CUST00048,808605165,018-923,Savings,2024-05-22,297.48,AUD,ACTIVE,False,8225,192636
ACC00000883,AU-CUST00687,117560792,012-331,Savings,2024-12-22,33366.12,AUD,ACTIVE,False,25000,35912
ACC00000490,AU-CUST00466,118355082,016-809,Savings,2024-11-10,780.96,AUD,ACTIVE,False,16632,170439
ACC00000961,AU-CUST00762,441670117,015-369,Savings,2025-04-28,2396.16,AUD,ACTIVE,False,25000,31349
ACC00001017,AU-CUST00792,722150241,012-940,Savings,2025-06-15,6757.94,AUD,ACTIVE,False,25000,199362
ACC00000641,AU-CUST00445,100017315,013-054,Savings,2024-09-18,3188.29,AUD,ACTIVE,True,23738,184620
ACC00000630,AU-CUST00510,902110375,016-313,Savings,2025-01-01,5374.61,AUD,ACTIVE,False,25000,199733
ACC00000131,AU-CUST00101,304409984,012-841,Savings,2024-02-14,4631.69,AUD,ACTIVE,False,21785,41065
ACC00001167,AU-CUST00918,366297856,017-081,Savings,2024-01-23,9091.0,AUD,ACTIVE,False,25000,127262
ACC00000173,AU-CUST00130,164679408,015-140,Savings,2025-01-03,274.33,AUD,ACTIVE,False,25000,44970
ACC00000386,AU-CUST00298,182136223,017-195,Savings,2024-07-08,17586.14,AUD,ACTIVE,True,5000,111917
ACC00001079,AU-CUST00848,921807591,014-497,Savings,2025-06-02,22225.81,AUD,ACTIVE,False,25000,155915
ACC00000108,AU-CUST00083,480349044,014-622,Savings,2024-09-18,1893.45,AUD,ACTIVE,False,25000,197360
ACC00001203,AU-CUST00951,356641108,017-046,Savings,2024-10-06,46.81,AUD,ACTIVE,False,5856,184313
ACC00000173,AU-CUST00131,754378739,012-540,Savings,2024-07-03,402.17,AUD,ACTIVE,False,25000,165999
ACC00000912,AU-CUST00760,674639940,017-376,Savings,2025-03-27,832.23,AUD,ACTIVE,False,25000,69470
ACC00000580,AU-CUST00414,883450243,013-953,Savings,2025-05-20,32742.24,AUD,ACTIVE,False,7476,196532
ACC00000408,AU-CUST00271,128667340,018-794,Savings,2025-03-27,2175.81,AUD,ACTIVE,False,14161,187545
ACC00000182,AU-CUST00123,516772808,014-719,Business,2024-08-24,246.15,AUD,ACTIVE,False,25000,198818
ACC00000983,AU-CUST00730,875076356,012-539,Savings,2024-06-23,1624.35,AUD,ACTIVE,False,25000,160919
ACC00001117,AU-CUST00898,129488292,012-148,Savings,2024-12-21,8874.24,AUD,ACTIVE,False,5476,192581
ACC00000392,AU-CUST00281,182136223,012-413,Savings,2024-05-11,2181.54,AUD,ACTIVE,False,25000,192723
ACC00000946,AU-CUST00742,993260464,016-931,Savings,2024-10-05,2320.36,AUD,ACTIVE,True,24682,90699
ACC00000454,AU-CUST00387,336741082,015-140,Savings,2024-01-31,25659.47,AUD,ACTIVE,False,25000,41206
ACC00000062,AU-CUST00057,808605165,014-123,Savings,2025-02-10,10982.29,AUD,ACTIVE,False,12263,49217
ACC00000600,AU-CUST00485,718565068,017-022,Savings,2024-08-26,4286.03,AUD,ACTIVE,False,22736,33998
ACC00000992,AU-CUST00786,829797411,014-670,Savings,2025-02-24,2673.34,AUD,ACTIVE,False,25000,198874
ACC00000694,AU-CUST00582,279884465,014-362,Savings,2025-02-11,1742.32,AUD,ACTIVE,False,25000,42674
ACC00000711,AU-CUST00599,406971037,012-441,Savings,2024-06-22,1721.29,AUD,ACTIVE,False,17425,186401
ACC00001099,AU-CUST00885,770887381,013-175,Savings,2025-02-15,290.22,AUD,ACTIVE,False,8647,199764
