customer_id,name,date_of_birth,gender,citizenship,marital_status,employment_status,annual_income,customer_segment,onboarding_date,digital_literacy_level,known_device_familiarity_score,scam_education_completed,risk_profile,is_vulnerable,vulnerability_score,vulnerability_flags,is_mule_account,credit_score,kyc_level,aml_risk_level
AU-CUST00278,Elaine Brooks,1979-10-24,Male,AU,Married,Part-time,30939,Standard,2024-02-16,Medium,0.35,False,Medium,True,0.01,ELDERLY,False,517,Enhanced,High
AU-CUST00033,Tommy Walter,1950-10-31,Male,AU,Single,Full-time,20448,Standard,2024-04-06,Low,0.407,False,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,677,Standard,Medium
AU-CUST00061,Amber Kidd,1973-10-25,Male,AU,Single,Part-time,65908,Standard,2025-01-08,Medium,0.631,False,Low,False,0.0,PRIOR_VICTIM,False,660,Enhanced,Medium
AU-CUST00073,John Daniel,1949-10-31,Male,AU,Married,Student,14227,Standard,2024-12-26,Medium,0.461,False,Medium,True,0.08,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,581,Standard,High
AU-CUST00311,Jordan Chambers,2001-10-18,Male,AU,Single,Full-time,82972,Standard,2025-04-27,Medium,0.307,True,Low,False,0.0,PRIOR_VICTIM,False,690,Enhanced,Medium
AU-CUST00729,Robert Gonzales,1985-10-22,Male,AU,Single,Full-time,99680,Standard,2025-03-01,Medium,0.372,False,Low,False,0.0,PRIOR_VICTIM,False,778,Standard,Medium
AU-CUST00890,Donald Miller,1956-10-29,Male,AU,Single,Retired,53920,Standard,2024-06-11,Medium,0.964,False,Low,True,0.0,YOUNG_ADULT|LOW_INCOME,False,709,Enhanced,High
AU-CUST00373,Jeremy Turner,1951-10-31,Male,AU,Single,Full-time,59740,Standard,2024-11-01,Medium,0.351,True,Low,False,0.0,PRIOR_VICTIM,False,701,Simplified,Medium
AU-CUST00340,Tracy Ballard,1994-10-20,Male,AU,Single,Full-time,49204,Standard,2024-09-18,Low,0.28,False,Low,True,0.0,YOUNG_ADULT|LOW_INCOME,False,780,Standard,Medium
AU-CUST00710,Maria Henry,1980-10-23,Male,AU,Married,Retired,105918,Premium,2025-05-06,Medium,0.991,False,Low,False,0.0,YOUNG_ADULT,False,722,Standard,High
AU-CUST00408,Anthony Moore,1942-11-02,Male,AU,Married,Full-time,54947,Standard,2024-05-28,High,0.59,True,Low,False,0.0,PRIOR_VICTIM,False,844,Standard,Medium
AU-CUST00663,Alexis Harris,2001-10-18,Male,AU,Married,Full-time,15737,Standard,2024-07-19,Medium,0.897,False,Low,True,0.0,PRIOR_VICTIM,False,534,Enhanced,Medium
AU-CUST00522,Meghan Rush,1974-10-25,Male,AU,Married,Full-time,19154,Standard,2025-02-22,Medium,0.648,True,Medium,True,0.01,ELDERLY,False,564,Standard,Medium
AU-CUST00954,Ariel Sandoval,2005-10-17,Male,AU,Married,Part-time,21539,Standard,2025-05-20,Medium,0.561,True,Low,True,0.01,LOW_INCOME,False,752,Standard,Medium
AU-CUST00604,Tanya Russell,1976-10-24,Male,AU,Married,Part-time,35798,Standard,2024-01-02,Medium,0.423,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,610,Enhanced,Medium
AU-CUST00582,James Gilbert,1945-11-01,Male,AU,Single,Retired,70212,Premium,2025-02-28,Medium,0.969,False,Medium,True,0.02,YOUNG_ADULT,False,573,Standard,High
